Date,Region,Product ID,Competitor Pricing
2022-01-01,North,P0001,29.69
2022-01-01,South,P0002,66.16
2022-01-01,West,P0003,31.32
2022-01-01,North,P0004,34.74
2022-01-01,East,P0005,68.95
2022-01-01,South,P0006,79.35
2022-01-01,East,P0007,36.55
2022-01-01,North,P0008,100.09
2022-01-01,West,P0009,17.66
2022-01-01,South,P0010,61.21
2022-01-01,South,P0011,61.42
2022-01-01,West,P0012,62.21
2022-01-01,South,P0013,46.31
2022-01-01,West,P0014,80.06
2022-01-01,North,P0015,95.8
2022-01-01,North,P0016,20.27
2022-01-01,West,P0017,16.49
2022-01-01,South,P0018,23.13
2022-01-01,East,P0019,77.26
2022-01-01,East,P0020,27.1
2022-01-01,South,P0001,30.78
2022-01-01,West,P0002,45.21
2022-01-01,East,P0003,22.0
2022-01-01,West,P0004,28.06
2022-01-01,West,P0005,80.64
2022-01-01,North,P0006,86.82
2022-01-01,West,P0007,93.33
2022-01-01,West,P0008,65.36
2022-01-01,South,P0009,82.06
2022-01-01,North,P0010,65.22
2022-01-01,West,P0011,33.98
2022-01-01,East,P0012,19.01
2022-01-01,East,P0013,58.5
2022-01-01,East,P0014,90.85
2022-01-01,South,P0015,55.23
2022-01-01,South,P0016,42.17
2022-01-01,West,P0017,10.0
2022-01-01,North,P0018,54.39
2022-01-01,East,P0019,81.02
2022-01-01,West,P0020,91.56
2022-01-01,South,P0001,67.39
2022-01-01,West,P0002,25.63
2022-01-01,South,P0003,57.16
2022-01-01,South,P0004,93.6
2022-01-01,West,P0005,93.54
2022-01-01,North,P0006,71.38
2022-01-01,North,P0007,90.5
2022-01-01,North,P0008,70.46
2022-01-01,South,P0009,73.93
2022-01-01,South,P0010,95.8
2022-01-01,East,P0011,57.85
2022-01-01,North,P0012,89.52
2022-01-01,North,P0013,76.65
2022-01-01,South,P0014,82.51
2022-01-01,West,P0015,23.28
2022-01-01,South,P0016,99.58
2022-01-01,East,P0017,27.4
2022-01-01,West,P0018,94.88
2022-01-01,East,P0019,24.81
2022-01-01,North,P0020,95.7
2022-01-01,South,P0001,16.09
2022-01-01,North,P0002,45.05
2022-01-01,West,P0003,93.0
2022-01-01,West,P0004,90.36
2022-01-01,North,P0005,85.22
2022-01-01,East,P0006,39.86
2022-01-01,West,P0007,64.78
2022-01-01,South,P0008,86.14
2022-01-01,North,P0009,61.1
2022-01-01,East,P0010,37.15
2022-01-01,West,P0011,57.76
2022-01-01,North,P0012,18.56
2022-01-01,East,P0013,63.92
2022-01-01,West,P0014,68.47
2022-01-01,South,P0015,65.27
2022-01-01,South,P0016,96.74
2022-01-01,South,P0017,28.07
2022-01-01,West,P0018,18.79
2022-01-01,West,P0019,73.85
2022-01-01,West,P0020,9.26
2022-01-01,West,P0001,70.29
2022-01-01,West,P0002,60.71
2022-01-01,North,P0003,40.93
2022-01-01,West,P0004,54.7
2022-01-01,West,P0005,96.3
2022-01-01,North,P0006,61.15
2022-01-01,South,P0007,50.84
2022-01-01,West,P0008,30.44
2022-01-01,West,P0009,85.45
2022-01-01,East,P0010,36.87
2022-01-01,West,P0011,53.03
2022-01-01,West,P0012,63.53
2022-01-01,South,P0013,87.09
2022-01-01,South,P0014,42.01
2022-01-01,West,P0015,11.27
2022-01-01,South,P0016,17.98
2022-01-01,East,P0017,102.42
2022-01-01,West,P0018,50.03
2022-01-01,South,P0019,91.16
2022-01-01,South,P0020,9.14
2022-01-02,West,P0001,30.89
2022-01-02,West,P0002,18.76
2022-01-02,South,P0003,72.93
2022-01-02,East,P0004,50.46
2022-01-02,East,P0005,19.19
2022-01-02,East,P0006,46.82
2022-01-02,North,P0007,17.0
2022-01-02,East,P0008,61.56
2022-01-02,South,P0009,95.61
2022-01-02,North,P0010,12.71
2022-01-02,East,P0011,53.79
2022-01-02,East,P0012,60.99
2022-01-02,North,P0013,31.06
2022-01-02,West,P0014,28.6
2022-01-02,East,P0015,30.29
2022-01-02,West,P0016,38.02
2022-01-02,West,P0017,27.5
2022-01-02,North,P0018,69.67
2022-01-02,South,P0019,87.43
2022-01-02,North,P0020,99.5
2022-01-02,West,P0001,63.92
2022-01-02,West,P0002,86.73
2022-01-02,West,P0003,89.57
2022-01-02,South,P0004,69.34
2022-01-02,North,P0005,90.59
2022-01-02,East,P0006,77.28
2022-01-02,North,P0007,13.57
2022-01-02,North,P0008,13.94
2022-01-02,North,P0009,28.86
2022-01-02,West,P0010,32.0
2022-01-02,East,P0011,86.3
2022-01-02,North,P0012,83.13
2022-01-02,North,P0013,97.09
2022-01-02,West,P0014,89.47
2022-01-02,North,P0015,75.27
2022-01-02,West,P0016,67.23
2022-01-02,West,P0017,41.4
2022-01-02,East,P0018,21.71
2022-01-02,East,P0019,80.06
2022-01-02,South,P0020,65.4
2022-01-02,West,P0001,72.55
2022-01-02,East,P0002,91.2
2022-01-02,East,P0003,87.38
2022-01-02,West,P0004,85.85
2022-01-02,East,P0005,36.57
2022-01-02,East,P0006,97.69
2022-01-02,West,P0007,36.72
2022-01-02,South,P0008,37.49
2022-01-02,West,P0009,91.53
2022-01-02,West,P0010,21.42
