Date,Store ID,Product ID,Demand Forecast
2022-01-01,S001,P0001,135.47
2022-01-01,S001,P0002,144.04
2022-01-01,S001,P0003,74.02
2022-01-01,S001,P0004,62.18
2022-01-01,S001,P0005,9.26
2022-01-01,S001,P0006,139.82
2022-01-01,S001,P0007,108.92
2022-01-01,S001,P0008,329.73
2022-01-01,S001,P0009,174.15
2022-01-01,S001,P0010,24.47
2022-01-01,S001,P0011,152.74
2022-01-01,S001,P0012,26.75
2022-01-01,S001,P0013,41.46
2022-01-01,S001,P0014,6.8
2022-01-01,S001,P0015,363.46
2022-01-01,S001,P0016,255.74
2022-01-01,S001,P0017,255.37
2022-01-01,S001,P0018,147.27
2022-01-01,S001,P0019,267.38
2022-01-01,S001,P0020,115.23
2022-01-01,S002,P0001,112.55
2022-01-01,S002,P0002,135.62
2022-01-01,S002,P0003,176.31
2022-01-01,S002,P0004,54.57
2022-01-01,S002,P0005,150.9
2022-01-01,S002,P0006,242.57
2022-01-01,S002,P0007,401.48
2022-01-01,S002,P0008,35.54
2022-01-01,S002,P0009,14.78
2022-01-01,S002,P0010,132.75
2022-01-01,S002,P0011,7.44
2022-01-01,S002,P0012,37.27
2022-01-01,S002,P0013,299.7
2022-01-01,S002,P0014,370.36
2022-01-01,S002,P0015,148.55
2022-01-01,S002,P0016,58.07
2022-01-01,S002,P0017,390.89
2022-01-01,S002,P0018,177.41
2022-01-01,S002,P0019,34.38
2022-01-01,S002,P0020,115.0
2022-01-01,S003,P0001,161.09
2022-01-01,S003,P0002,11.11
2022-01-01,S003,P0003,75.04
2022-01-01,S003,P0004,42.99
2022-01-01,S003,P0005,330.92
2022-01-01,S003,P0006,159.17
2022-01-01,S003,P0007,26.91
2022-01-01,S003,P0008,45.48
2022-01-01,S003,P0009,30.05
2022-01-01,S003,P0010,141.34
2022-01-01,S003,P0011,242.02
2022-01-01,S003,P0012,176.75
2022-01-01,S003,P0013,12.86
2022-01-01,S003,P0014,387.88
2022-01-01,S003,P0015,266.36
2022-01-01,S003,P0016,349.36
2022-01-01,S003,P0017,157.82
2022-01-01,S003,P0018,83.01
2022-01-01,S003,P0019,268.25
2022-01-01,S003,P0020,387.57
2022-01-01,S004,P0001,286.65
2022-01-01,S004,P0002,176.06
2022-01-01,S004,P0003,352.93
2022-01-01,S004,P0004,-2.4
2022-01-01,S004,P0005,196.57
2022-01-01,S004,P0006,396.4
2022-01-01,S004,P0007,197.45
2022-01-01,S004,P0008,54.98
2022-01-01,S004,P0009,51.78
2022-01-01,S004,P0010,115.03
2022-01-01,S004,P0011,46.65
2022-01-01,S004,P0012,0.95
2022-01-01,S004,P0013,54.47
2022-01-01,S004,P0014,69.73
2022-01-01,S004,P0015,171.96
2022-01-01,S004,P0016,98.05
2022-01-01,S004,P0017,55.12
2022-01-01,S004,P0018,27.3
2022-01-01,S004,P0019,181.25
2022-01-01,S004,P0020,86.27
2022-01-01,S005,P0001,83.47
2022-01-01,S005,P0002,292.96
2022-01-01,S005,P0003,76.02
2022-01-01,S005,P0004,292.04
2022-01-01,S005,P0005,38.63
2022-01-01,S005,P0006,174.06
2022-01-01,S005,P0007,122.6
2022-01-01,S005,P0008,328.64
2022-01-01,S005,P0009,92.62
2022-01-01,S005,P0010,14.38
2022-01-01,S005,P0011,94.65
2022-01-01,S005,P0012,90.59
2022-01-01,S005,P0013,256.57
2022-01-01,S005,P0014,188.55
2022-01-01,S005,P0015,260.79
2022-01-01,S005,P0016,1.85
2022-01-01,S005,P0017,390.04
2022-01-01,S005,P0018,103.97
2022-01-01,S005,P0019,119.33
2022-01-01,S005,P0020,105.92
2022-01-02,S001,P0001,92.94
2022-01-02,S001,P0002,171.6
2022-01-02,S001,P0003,463.12
2022-01-02,S001,P0004,133.92
2022-01-02,S001,P0005,204.3
2022-01-02,S001,P0006,51.57
2022-01-02,S001,P0007,60.3
2022-01-02,S001,P0008,67.04
2022-01-02,S001,P0009,70.6
2022-01-02,S001,P0010,47.8
2022-01-02,S001,P0011,16.92
2022-01-02,S001,P0012,70.71
2022-01-02,S001,P0013,44.46
2022-01-02,S001,P0014,23.36
2022-01-02,S001,P0015,203.23
2022-01-02,S001,P0016,67.55
2022-01-02,S001,P0017,181.86
2022-01-02,S001,P0018,55.16
2022-01-02,S001,P0019,24.41
2022-01-02,S001,P0020,187.49
2022-01-02,S002,P0001,339.04
2022-01-02,S002,P0002,82.44
2022-01-02,S002,P0003,153.42
2022-01-02,S002,P0004,100.61
2022-01-02,S002,P0005,57.53
2022-01-02,S002,P0006,273.1
2022-01-02,S002,P0007,264.18
2022-01-02,S002,P0008,46.32
2022-01-02,S002,P0009,195.61
2022-01-02,S002,P0010,387.41
2022-01-02,S002,P0011,169.13
2022-01-02,S002,P0012,239.09
2022-01-02,S002,P0013,279.91
2022-01-02,S002,P0014,31.53
2022-01-02,S002,P0015,110.49
2022-01-02,S002,P0016,166.83
2022-01-02,S002,P0017,174.49
2022-01-02,S002,P0018,116.05
2022-01-02,S002,P0019,469.74
2022-01-02,S002,P0020,76.55
2022-01-02,S003,P0001,132.41
2022-01-02,S003,P0002,-3.4
2022-01-02,S003,P0003,22.8
2022-01-02,S003,P0004,49.64
2022-01-02,S003,P0005,297.42
2022-01-02,S003,P0006,106.58
2022-01-02,S003,P0007,85.31
2022-01-02,S003,P0008,130.52
2022-01-02,S003,P0009,139.46
2022-01-02,S003,P0010,94.23
2022-01-02,S003,P0011,117.65
2022-01-02,S003,P0012,1.99
2022-01-02,S003,P0013,206.35
2022-01-02,S003,P0014,384.47
2022-01-02,S003,P0015,283.25
2022-01-02,S003,P0016,70.77
2022-01-02,S003,P0017,65.67
2022-01-02,S003,P0018,126.67
2022-01-02,S003,P0019,44.37
2022-01-02,S003,P0020,9.42
2022-01-02,S004,P0001,39.12
2022-01-02,S004,P0002,46.65
2022-01-02,S004,P0003,87.77
2022-01-02,S004,P0004,224.66
2022-01-02,S004,P0005,14.91
2022-01-02,S004,P0006,52.02
2022-01-02,S004,P0007,124.22
2022-01-02,S004,P0008,21.73
2022-01-02,S004,P0009,103.6
2022-01-02,S004,P0010,214.99
2022-01-02,S004,P0011,339.54
2022-01-02,S004,P0012,145.99
2022-01-02,S004,P0013,191.55
2022-01-02,S004,P0014,28.75
