Date,Product ID,Store ID,Inventory Level
2022-01-01,P0001,S001,231
2022-01-01,P0002,S001,204
2022-01-01,P0003,S001,102
2022-01-01,P0004,S001,469
2022-01-01,P0005,S001,166
2022-01-01,P0006,S001,138
2022-01-01,P0007,S001,359
2022-01-01,P0008,S001,380
2022-01-01,P0009,S001,183
2022-01-01,P0010,S001,108
2022-01-01,P0011,S001,258
2022-01-01,P0012,S001,66
2022-01-01,P0013,S001,96
2022-01-01,P0014,S001,193
2022-01-01,P0015,S001,379
2022-01-01,P0016,S001,363
2022-01-01,P0017,S001,318
2022-01-01,P0018,S001,241
2022-01-01,P0019,S001,352
2022-01-01,P0020,S001,274
2022-01-01,P0001,S002,343
2022-01-01,P0002,S002,373
2022-01-01,P0003,S002,445
2022-01-01,P0004,S002,191
2022-01-01,P0005,S002,281
2022-01-01,P0006,S002,492
2022-01-01,P0007,S002,460
2022-01-01,P0008,S002,304
2022-01-01,P0009,S002,113
2022-01-01,P0010,S002,157
2022-01-01,P0011,S002,67
2022-01-01,P0012,S002,281
2022-01-01,P0013,S002,389
2022-01-01,P0014,S002,465
2022-01-01,P0015,S002,197
2022-01-01,P0016,S002,242
2022-01-01,P0017,S002,398
2022-01-01,P0018,S002,234
2022-01-01,P0019,S002,67
2022-01-01,P0020,S002,221
2022-01-01,P0001,S003,241
2022-01-01,P0002,S003,115
2022-01-01,P0003,S003,375
2022-01-01,P0004,S003,153
2022-01-01,P0005,S003,438
2022-01-01,P0006,S003,456
2022-01-01,P0007,S003,189
2022-01-01,P0008,S003,223
2022-01-01,P0009,S003,381
2022-01-01,P0010,S003,166
2022-01-01,P0011,S003,292
2022-01-01,P0012,S003,311
2022-01-01,P0013,S003,51
2022-01-01,P0014,S003,398
2022-01-01,P0015,S003,445
2022-01-01,P0016,S003,487
2022-01-01,P0017,S003,429
2022-01-01,P0018,S003,204
2022-01-01,P0019,S003,330
2022-01-01,P0020,S003,431
2022-01-01,P0001,S004,477
2022-01-01,P0002,S004,462
2022-01-01,P0003,S004,446
2022-01-01,P0004,S004,437
2022-01-01,P0005,S004,397
2022-01-01,P0006,S004,470
2022-01-01,P0007,S004,264
2022-01-01,P0008,S004,250
2022-01-01,P0009,S004,63
2022-01-01,P0010,S004,447
2022-01-01,P0011,S004,205
2022-01-01,P0012,S004,349
2022-01-01,P0013,S004,191
2022-01-01,P0014,S004,406
2022-01-01,P0015,S004,228
2022-01-01,P0016,S004,263
2022-01-01,P0017,S004,203
2022-01-01,P0018,S004,143
2022-01-01,P0019,S004,359
2022-01-01,P0020,S004,211
2022-01-01,P0001,S005,111
2022-01-01,P0002,S005,415
2022-01-01,P0003,S005,384
2022-01-01,P0004,S005,436
2022-01-01,P0005,S005,180
2022-01-01,P0006,S005,185
2022-01-01,P0007,S005,292
2022-01-01,P0008,S005,478
2022-01-01,P0009,S005,182
2022-01-01,P0010,S005,87
2022-01-01,P0011,S005,427
2022-01-01,P0012,S005,245
2022-01-01,P0013,S005,317
2022-01-01,P0014,S005,325
2022-01-01,P0015,S005,411
2022-01-01,P0016,S005,71
2022-01-01,P0017,S005,388
2022-01-01,P0018,S005,161
