Product ID,Category,Price
P0001,Groceries,33.5
P0002,Toys,63.01
P0003,Toys,27.99
P0004,Toys,32.72
P0005,Electronics,73.64
P0006,Groceries,76.83
P0007,Furniture,34.16
P0008,Clothing,97.99
P0009,Electronics,20.74
P0010,Toys,59.99
P0011,Furniture,58.53
P0012,Clothing,58.25
P0013,Toys,43.6
P0014,Clothing,78.11
P0015,Clothing,92.99
P0016,Electronics,21.9
P0017,Toys,21.07
P0018,Clothing,19.57
P0019,Clothing,73.28
P0020,Toys,30.24
P0001,Groceries,32.8
P0002,Clothing,46.16
P0003,Furniture,20.46
P0004,Toys,26.19
P0005,Toys,83.29
P0006,Furniture,85.59
P0007,Groceries,91.13
P0008,Electronics,66.96
P0009,Clothing,81.29
P0010,Electronics,60.84
P0011,Groceries,34.62
P0012,Groceries,19.56
P0013,Clothing,57.78
P0014,Electronics,91.28
P0015,Toys,59.9
P0016,Toys,45.65
P0017,Groceries,11.71
P0018,Groceries,58.84
P0019,Toys,84.99
P0020,Toys,87.1
P0001,Toys,67.21
P0002,Electronics,28.2
P0003,Groceries,56.16
P0004,Toys,89.53
P0005,Clothing,97.95
P0006,Groceries,76.37
P0007,Electronics,86.99
P0008,Toys,66.53
P0009,Groceries,74.86
P0010,Groceries,97.09
P0011,Toys,56.19
P0012,Electronics,90.38
P0013,Furniture,73.98
P0014,Electronics,79.03
P0015,Clothing,27.72
P0016,Groceries,98.18
P0017,Clothing,27.1
P0018,Toys,97.08
P0019,Clothing,26.71
P0020,Electronics,95.85
P0001,Toys,15.62
P0002,Clothing,41.13
P0003,Clothing,89.32
P0004,Groceries,87.23
P0005,Groceries,81.72
P0006,Electronics,41.35
P0007,Electronics,67.26
P0008,Furniture,85.88
P0009,Furniture,59.23
P0010,Groceries,33.48
P0011,Electronics,54.84
P0012,Electronics,14.25
P0013,Furniture,61.81
P0014,Electronics,66.94
P0015,Clothing,60.54
P0016,Groceries,94.26
P0017,Electronics,25.55
P0018,Groceries,16.73
P0019,Groceries,71.2
P0020,Clothing,11.5
P0001,Toys,70.33
P0002,Clothing,57.15
P0003,Electronics,36.17
P0004,Furniture,50.77
P0005,Clothing,92.86
P0006,Groceries,60.76
P0007,Clothing,46.47
P0008,Toys,34.08
P0009,Groceries,87.81
P0010,Clothing,37.04
P0011,Groceries,54.12
P0012,Electronics,67.64
P0013,Furniture,82.18
P0014,Electronics,42.62
P0015,Furniture,11.54
P0016,Clothing,16.3
P0017,Electronics,98.31
P0018,Furniture,48.96
P0019,Groceries,88.22
P0020,Electronics,11.04
P0001,Groceries,27.95
P0002,Clothing,19.78
P0003,Clothing,70.99
P0004,Groceries,49.56
P0005,Electronics,23.76
P0006,Furniture,47.56
P0007,Electronics,17.1
P0008,Clothing,58.89
P0009,Toys,99.76
P0010,Clothing,11.44
P0011,Furniture,53.84
P0012,Furniture,57.84
P0013,Toys,35.51
P0014,Electronics,31.41
P0015,Electronics,28.06
P0016,Electronics,35.67
P0017,Furniture,28.18
P0018,Toys,74.42
P0019,Furniture,91.95
P0020,Electronics,97.88
P0001,Electronics,66.57
P0002,Furniture,90.36
P0003,Groceries,92.24
P0004,Groceries,68.71
P0005,Groceries,87.22
P0006,Groceries,79.38
P0007,Groceries,17.41
P0008,Electronics,14.8
P0009,Electronics,30.5
P0010,Groceries,27.84
P0011,Furniture,88.62
P0012,Toys,82.35
P0013,Toys,92.57
P0014,Furniture,94.38
P0015,Toys,70.59
P0016,Toys,63.13
P0017,Clothing,46.04
P0018,Groceries,21.07
P0019,Toys,79.11
P0020,Clothing,64.99
P0001,Toys,73.48
P0002,Groceries,87.5
P0003,Toys,88.68
P0004,Furniture,82.36
P0005,Furniture,38.56
P0006,Groceries,97.74
P0007,Electronics,37.68
P0008,Clothing,36.03
P0009,Electronics,88.97
P0010,Furniture,16.48
P0011,Furniture,58.37
P0012,Groceries,27.86
P0013,Electronics,39.14
P0014,Toys,66.51
P0015,Electronics,89.65
P0016,Clothing,86.7
P0017,Toys,29.69
P0018,Toys,86.93
P0019,Furniture,59.33
P0020,Electronics,57.07
P0001,Electronics,74.16
P0002,Electronics,59.38
P0003,Clothing,48.18
P0004,Groceries,94.75
P0005,Toys,60.89
P0006,Toys,14.71
P0007,Furniture,33.09
P0008,Toys,98.75
P0009,Furniture,12.4
P0010,Groceries,92.01
P0011,Toys,92.12
P0012,Groceries,37.39
P0013,Clothing,85.35
P0014,Electronics,82.64
P0015,Toys,92.19
P0016,Clothing,61.41
P0017,Electronics,96.47
P0018,Furniture,89.33
P0019,Groceries,59.49
P0020,Electronics,73.05
P0001,Groceries,67.49
P0002,Furniture,66.05
P0003,Toys,80.88
P0004,Groceries,60.5
P0005,Furniture,71.72
P0006,Clothing,69.21
P0007,Clothing,70.69
P0008,Furniture,63.54
P0009,Electronics,78.08
P0010,Furniture,43.09
P0011,Electronics,25.67
P0012,Toys,38.59
P0013,Furniture,57.99
P0014,Toys,14.65
P0015,Clothing,63.26
P0016,Groceries,43.64
P0017,Toys,84.85
P0018,Clothing,47.05
P0019,Clothing,76.83
P0020,Clothing,93.95
P0001,Electronics,62.7
P0002,Clothing,54.02
P0003,Toys,26.03
P0004,Electronics,10.19
P0005,Groceries,95.54
P0006,Furniture,57.65
P0007,Clothing,87.85
P0008,Groceries,53.94
P0009,Groceries,61.42
P0010,Electronics,99.14
P0011,Groceries,60.52
P0012,Clothing,86.93
