Date,Store ID,Product ID,Units Sold,Units Ordered
2022-01-01,S001,P0001,127,55
2022-01-01,S001,P0002,150,66
2022-01-01,S001,P0003,65,51
2022-01-01,S001,P0004,61,164
2022-01-01,S001,P0005,14,135
2022-01-01,S001,P0006,128,102
2022-01-01,S001,P0007,97,167
2022-01-01,S001,P0008,312,54
2022-01-01,S001,P0009,175,135
2022-01-01,S001,P0010,28,196
2022-01-01,S001,P0011,150,153
2022-01-01,S001,P0012,24,70
2022-01-01,S001,P0013,42,85
2022-01-01,S001,P0014,12,187
2022-01-01,S001,P0015,369,154
2022-01-01,S001,P0016,255,69
2022-01-01,S001,P0017,246,177
2022-01-01,S001,P0018,151,47
2022-01-01,S001,P0019,257,186
2022-01-01,S001,P0020,99,166
2022-01-01,S002,P0001,104,144
2022-01-01,S002,P0002,141,151
2022-01-01,S002,P0003,182,119
2022-01-01,S002,P0004,63,115
2022-01-01,S002,P0005,156,25
2022-01-01,S002,P0006,250,168
2022-01-01,S002,P0007,393,70
2022-01-01,S002,P0008,29,99
2022-01-01,S002,P0009,9,84
2022-01-01,S002,P0010,126,181
2022-01-01,S002,P0011,13,33
2022-01-01,S002,P0012,25,136
2022-01-01,S002,P0013,283,177
2022-01-01,S002,P0014,359,77
2022-01-01,S002,P0015,129,94
2022-01-01,S002,P0016,63,85
2022-01-01,S002,P0017,373,92
2022-01-01,S002,P0018,160,140
2022-01-01,S002,P0019,15,186
2022-01-01,S002,P0020,101,38
2022-01-01,S003,P0001,147,180
2022-01-01,S003,P0002,4,169
2022-01-01,S003,P0003,77,145
2022-01-01,S003,P0004,31,145
2022-01-01,S003,P0005,325,20
2022-01-01,S003,P0006,163,22
2022-01-01,S003,P0007,34,107
2022-01-01,S003,P0008,47,107
2022-01-01,S003,P0009,15,184
2022-01-01,S003,P0010,126,124
2022-01-01,S003,P0011,232,155
2022-01-01,S003,P0012,175,55
2022-01-01,S003,P0013,17,172
2022-01-01,S003,P0014,369,26
2022-01-01,S003,P0015,260,24
2022-01-01,S003,P0016,347,93
2022-01-01,S003,P0017,150,168
2022-01-01,S003,P0018,70,170
2022-01-01,S003,P0019,249,37
2022-01-01,S003,P0020,370,99
2022-01-01,S004,P0001,271,66
2022-01-01,S004,P0002,180,183
