Date,Region,Weather Condition
2022-01-01,North,Rainy
2022-01-01,South,Sunny
2022-01-01,West,Sunny
2022-01-01,North,Cloudy
2022-01-01,East,Sunny
2022-01-01,East,Rainy
2022-01-01,West,Cloudy
2022-01-01,South,Rainy
2022-01-01,West,Snowy
2022-01-01,South,Cloudy
2022-01-01,North,Snowy
2022-01-01,East,Cloudy
2022-01-01,West,Rainy
2022-01-01,East,Snowy
2022-01-01,South,Snowy
2022-01-01,North,Sunny
2022-01-02,West,Cloudy
2022-01-02,South,Snowy
2022-01-02,East,Snowy
2022-01-02,East,Sunny
2022-01-02,North,Snowy
2022-01-02,East,Cloudy
2022-01-02,South,Cloudy
2022-01-02,North,Sunny
2022-01-02,North,Cloudy
2022-01-02,West,Snowy
2022-01-02,West,Rainy
2022-01-02,East,Rainy
2022-01-02,North,Rainy
2022-01-02,West,Sunny
2022-01-02,South,Sunny
2022-01-02,South,Rainy
2022-01-03,West,Rainy
2022-01-03,East,Cloudy
2022-01-03,South,Rainy
2022-01-03,West,Sunny
2022-01-03,South,Sunny
2022-01-03,West,Snowy
2022-01-03,South,Snowy
2022-01-03,North,Sunny
2022-01-03,East,Snowy
2022-01-03,East,Rainy
2022-01-03,North,Cloudy
2022-01-03,North,Rainy
2022-01-03,North,Snowy
2022-01-03,West,Cloudy
2022-01-03,South,Cloudy
2022-01-03,East,Sunny
2022-01-04,South,Cloudy
2022-01-04,North,Sunny
2022-01-04,East,Snowy
2022-01-04,North,Cloudy
2022-01-04,East,Sunny
2022-01-04,East,Rainy
2022-01-04,South,Sunny
2022-01-04,West,Snowy
2022-01-04,East,Cloudy
2022-01-04,West,Cloudy
2022-01-04,West,Sunny
2022-01-04,North,Snowy
2022-01-04,North,Rainy
2022-01-04,West,Rainy
2022-01-04,South,Rainy
2022-01-04,South,Snowy
2022-01-05,South,Sunny
2022-01-05,West,Rainy
2022-01-05,South,Rainy
2022-01-05,North,Snowy
2022-01-05,West,Cloudy
2022-01-05,North,Rainy
2022-01-05,West,Snowy
2022-01-05,East,Rainy
2022-01-05,North,Sunny
2022-01-05,West,Sunny
2022-01-05,East,Snowy
2022-01-05,South,Snowy
2022-01-05,East,Cloudy
2022-01-05,South,Cloudy
2022-01-05,North,Cloudy
2022-01-05,East,Sunny
2022-01-06,East,Snowy
2022-01-06,East,Rainy
2022-01-06,West,Sunny
2022-01-06,West,Snowy
2022-01-06,West,Rainy
2022-01-06,South,Sunny
2022-01-06,West,Cloudy
2022-01-06,East,Cloudy
2022-01-06,North,Rainy
2022-01-06,South,Rainy
2022-01-06,South,Cloudy
2022-01-06,North,Cloudy
2022-01-06,North,Snowy
2022-01-06,South,Snowy
2022-01-06,East,Sunny
2022-01-06,North,Sunny
2022-01-07,North,Sunny
2022-01-07,North,Rainy
2022-01-07,West,Snowy
2022-01-07,West,Cloudy
2022-01-07,South,Rainy
2022-01-07,East,Rainy
2022-01-07,East,Cloudy
2022-01-07,North,Snowy
2022-01-07,South,Snowy
2022-01-07,East,Sunny
2022-01-07,South,Cloudy
2022-01-07,West,Rainy
2022-01-07,East,Snowy
2022-01-07,North,Cloudy
2022-01-07,South,Sunny
2022-01-07,West,Sunny
2022-01-08,East,Cloudy
2022-01-08,South,Rainy
2022-01-08,East,Rainy
2022-01-08,North,Rainy
2022-01-08,West,Rainy
2022-01-08,North,Sunny
2022-01-08,North,Cloudy
2022-01-08,South,Cloudy
2022-01-08,North,Snowy
2022-01-08,South,Sunny
2022-01-08,West,Snowy
2022-01-08,West,Sunny
2022-01-08,South,Snowy
2022-01-08,East,Sunny
2022-01-08,East,Snowy
2022-01-08,West,Cloudy
2022-01-09,South,Sunny
2022-01-09,North,Cloudy
2022-01-09,East,Sunny
2022-01-09,West,Snowy
2022-01-09,North,Sunny
2022-01-09,North,Rainy
2022-01-09,East,Snowy
2022-01-09,West,Cloudy
2022-01-09,South,Cloudy
2022-01-09,South,Rainy
2022-01-09,East,Cloudy
2022-01-09,North,Snowy
2022-01-09,East,Rainy
2022-01-09,West,Sunny
2022-01-09,South,Snowy
2022-01-09,West,Rainy
2022-01-10,West,Snowy
2022-01-10,South,Rainy
2022-01-10,East,Cloudy
2022-01-10,West,Cloudy
2022-01-10,North,Cloudy
2022-01-10,East,Snowy
2022-01-10,North,Sunny
2022-01-10,East,Sunny
2022-01-10,North,Snowy
2022-01-10,West,Sunny
2022-01-10,South,Sunny
2022-01-10,South,Snowy
2022-01-10,South,Cloudy
2022-01-10,North,Rainy
2022-01-10,East,Rainy
2022-01-10,West,Rainy
2022-01-11,West,Rainy
2022-01-11,North,Rainy
2022-01-11,South,Cloudy
2022-01-11,West,Cloudy
2022-01-11,West,Sunny
2022-01-11,South,Sunny
2022-01-11,East,Rainy
2022-01-11,East,Snowy
2022-01-11,South,Rainy
2022-01-11,East,Sunny
2022-01-11,North,Sunny
2022-01-11,East,Cloudy
2022-01-11,North,Snowy
2022-01-11,West,Snowy
2022-01-11,South,Snowy
2022-01-11,North,Cloudy
2022-01-12,South,Snowy
2022-01-12,East,Snowy
2022-01-12,West,Cloudy
2022-01-12,North,Sunny
2022-01-12,West,Rainy
2022-01-12,South,Rainy
2022-01-12,East,Sunny
2022-01-12,West,Snowy
2022-01-12,North,Rainy
2022-01-12,North,Cloudy
2022-01-12,East,Cloudy
2022-01-12,South,Sunny
2022-01-12,North,Snowy
2022-01-12,East,Rainy
2022-01-12,West,Sunny
2022-01-12,South,Cloudy
2022-01-13,East,Snowy
2022-01-13,West,Rainy
2022-01-13,East,Rainy
2022-01-13,South,Cloudy
2022-01-13,East,Cloudy
2022-01-13,North,Cloudy
2022-01-13,West,Cloudy
2022-01-13,North,Snowy
2022-01-13,North,Rainy
2022-01-13,South,Rainy
2022-01-13,East,Sunny
2022-01-13,South,Sunny
2022-01-13,West,Sunny
2022-01-13,South,Snowy
2022-01-13,West,Snowy
2022-01-13,North,Sunny
2022-01-14,North,Snowy
2022-01-14,East,Cloudy
2022-01-14,North,Rainy
2022-01-14,North,Cloudy
2022-01-14,North,Sunny
2022-01-14,South,Cloudy
2022-01-14,South,Sunny
2022-01-14,South,Rainy
2022-01-14,East,Sunny
2022-01-14,West,Snowy
2022-01-14,West,Cloudy
2022-01-14,East,Rainy
2022-01-14,East,Snowy
2022-01-14,West,Sunny
2022-01-14,South,Snowy
2022-01-14,West,Rainy
2022-01-15,North,Rainy
2022-01-15,North,Sunny
2022-01-15,West,Rainy
2022-01-15,North,Cloudy
2022-01-15,South,Snowy
2022-01-15,West,Sunny
2022-01-15,East,Cloudy
2022-01-15,West,Cloudy
2022-01-15,East,Rainy
2022-01-15,South,Rainy
2022-01-15,South,Sunny
2022-01-15,North,Snowy
2022-01-15,West,Snowy
2022-01-15,South,Cloudy
2022-01-15,East,Snowy
2022-01-15,East,Sunny
2022-01-16,East,Snowy
2022-01-16,West,Cloudy
2022-01-16,North,Cloudy
2022-01-16,North,Snowy
2022-01-16,West,Sunny
2022-01-16,South,Rainy
2022-01-16,East,Sunny
2022-01-16,West,Rainy
2022-01-16,South,Cloudy
2022-01-16,North,Sunny
2022-01-16,South,Sunny
2022-01-16,South,Snowy
2022-01-16,North,Rainy
